ticker,sector,source,sections_found,call_date,event_date,ew_risk_score,hedge_density,neg_sentiment,backward_ratio,sentiment_trajectory,actual_1d,actual_3d,actual_5d,signal,correct_1d,correct_3d,correct_5d
NVDA,Technology,edgar,False,2024-11-20,2024-11-20,21.71,0.4496,0.0,0.6286,0.3921,-0.007619,-0.034419,-0.068635,NEUTRAL,,,
NVDA,Technology,edgar,False,2025-02-26,2025-02-26,24.3,0.5217,0.0147,0.5909,0.4419,0.036721,-0.013504,-0.084024,NEUTRAL,,,
NVDA,Technology,edgar,False,2025-05-28,2025-05-28,33.76,0.7039,0.05,0.625,0.2716,-0.005092,-0.00273,0.042214,NEUTRAL,,,
NVDA,Technology,edgar,False,2025-08-27,2025-08-27,21.58,0.5474,0.0,0.5714,0.3717,-0.000935,-0.041756,-0.061341,POSITIVE,False,False,False
NVDA,Technology,edgar,False,2025-11-19,2025-11-19,25.11,0.4735,0.04,0.4717,0.3757,0.028452,-0.013674,-0.019519,NEUTRAL,,,
NVDA,Technology,edgar,False,2026-02-25,2026-02-25,28.72,0.5309,0.0476,0.5323,0.4255,0.014052,-0.081203,-0.066373,NEUTRAL,,,
PFE,Healthcare,motleyfool,True,2024-01-30,2024-01-30,29.98,0.8517,0.0563,0.3509,0.2371,-0.016739,-0.006914,-0.033115,NEUTRAL,,,
PFE,Healthcare,motleyfool,True,2024-05-01,2024-05-01,31.24,1.0297,0.0494,0.3546,0.2953,0.06089,0.08548,0.083919,NEUTRAL,,,
PFE,Healthcare,motleyfool,True,2024-07-30,2024-07-30,29.8,1.1193,0.0371,0.3354,0.2972,0.02181,-0.002279,-0.031901,NEUTRAL,,,
PFE,Healthcare,motleyfool,True,2024-10-29,2024-10-29,26.85,0.972,0.0304,0.3427,0.2278,-0.01386,-0.019404,-0.038115,NEUTRAL,,,
PFE,Healthcare,edgar,False,2025-04-29,2025-04-29,40.04,0.5543,0.104,0.5778,0.0581,0.032104,0.038178,0.035575,NEUTRAL,,,
PFE,Healthcare,edgar,False,2025-08-05,2025-08-05,35.13,0.4599,0.0955,0.4915,0.1687,0.051849,0.029749,0.044624,NEUTRAL,,,
PFE,Healthcare,edgar,False,2025-11-04,2025-11-04,46.41,0.4924,0.1486,0.5536,0.1053,-0.014599,0.007705,0.006467,NEUTRAL,,,
